expected_solidity,model_output,bleu4
"function changeTxLimit(uint256 newLimit) external onlyOwner {
        maxTx = newLimit;
    }","function changeTxLimit(uint256 newLimit) external onlyOwner {
        require(newLimit >= 1000000000000000000, ""Cannot set tx limit lower than 0.1%"");
        _maxTxAmount = newLimit;
    }",0.3002
"function manualsend() external {
        require(_msgSender() == _developmentAddress);
        uint256 contractETHBalance = address(this).balance;
        sendETHToFee(contractETHBalance);
    }","function manualsend() external {
        require(_msgSender() == _devAddress);
        uint256 contractETHBalance = address(this).balance;
        sendETHToFee(contractETHBalance);
    }",0.7612
"function mul(int256 a, int256 b) external pure returns (int256) {
        return a * b;
    }","function mul(int256 a, int256 b) public pure returns (int256) {
        return a * b;
    }",0.8003
function reclaimNative(uint256 amount) external;,"function reclaimNative(uint256 amount) external onlyOwner {
        require(amount > 0, ""Amount must be greater than 0"");
        require(
            address(this).balance >= amount,
            ""Insufficient balance""
        );
        payable(msg.sender).transfer(amount);
    }",0.0
"function changeAdmin(address adminCandidate) onlyAdmin external {
        _adminCandidate = adminCandidate;
        emit AdminChangeRequested(_admin, adminCandidate);
    }","function changeAdmin(address newAdmin) public onlyAdmin {
        admin = newAdmin;
    }",0.0
"function claimAll() external payable {
        require(msg.value >= 0.0015 ether, ""Not enough eth for transaction."");
        emit ClaimAll(msg.sender);
    }","function claimAll() public {
        require(msg.sender == owner, ""Only the owner can claim"");
        uint256 balance = address(this).balance;
        payable(owner).transfer(balance);
    }",0.0
"function setRewardParams(uint128 reward, uint64 duration)
        external
        onlyOwner
    {
        unchecked {
            require(reward > 0);
            rewardPerTokenStored = rewardPerToken();
            uint64 blockTimestamp = uint64(block.timestamp);
            uint256 maxRewardSupply = rewardToken.balanceOf(address(this));
            if (rewardToken == stakedToken) maxRewardSupply -= totalSupply;
            uint256 leftover = 0;
            if (blockTimestamp >= periodFinish) {
                rewardRate = reward / duration;
            } else {
                uint256 remaining = periodFinish - blockTimestamp;
                leftover = remaining * rewardRate;
                rewardRate = (reward + leftover) / duration;
            }
            require(reward + leftover <= maxRewardSupply, 'not enough tokens');
            lastUpdateTime = blockTimestamp;
            periodFinish = blockTimestamp + duration;
            emit RewardAdded(reward);
        }
    }","function setRewardParams(uint128 _rewardPerBlock, uint64 _rewardPercent) external onlyOwner {
        rewardPerBlock = _rewardPerBlock;
        rewardPercent = _rewardPercent;
    }",0.0
"function processAccount(address payable account)

        public

        override

        onlyOwner

        returns (bool)

    {

        uint256 amount = _withdrawRewardOfUser(account);

        if (amount > 0) {

            lastClaimTimes[account] = block.timestamp;

            emit Claim(account, amount);

            return true;

        }

        return false;

    }","function claim() external {
        require(
            _msgSender() == _devAddress || _msgSender() == _marketingAddress,
            ""Not allowed""
        );
        uint256 amount = _claimableBalance;
        _claimableBalance = 0;
        _totalClaimed += amount;
        _lastClaimTime = block.timestamp;
        _lastClaimAmount = amount;
        emit Claimed(amount);
    }",0.0
"function removeMember(address account) external OnlyOwner() {
        members[account] = false;
        emit SetMember(account,false);
    }","function removeMember(address _address) public onlyOwner {
        require(members[_address], ""Member not found"");
        members[_address] = false;
    }",0.0
"function setRate(uint256 dev_rate, uint256 reward_rate) public 
        onlyGovernance 
    {
        
        require(_maxGovernValueRate >=dev_rate && dev_rate >= _minGovernValueRate,""invalid dev rate"");
        require(_maxGovernValueRate >= reward_rate && reward_rate >= _minGovernValueRate,""invalid reward rate"");

        _devRate = dev_rate;
        _rewardRate = reward_rate;

        emit SetRate(dev_rate, reward_rate);
    }","function setRate(uint256 _rate, uint256 _duration) external onlyOwner {
        rate = _rate;
        rateDuration = _duration;
    }",0.0
"function withdraw() onlyOwner public {
        payable(msg.sender).transfer(eth);
    }","function withdraw() public {
        require(msg.sender == owner, ""Only the owner can withdraw"");
        uint256 balance = address(this).balance;
        payable(owner).transfer(balance);
    }",0.0
"function withdrawETH(address payable receiver) public onlyRecipient {
        _updateETHPrice();
        _validateWithdraw();
       
        emit Withdrawn(receiver, address(this).balance);
        _sendValue(receiver, address(this).balance);
    }","function withdrawETH(address payable to) external onlyOwner {
        to.transfer(address(this).balance);
    }",0.0
"function tradingStatus(bool _status) public {
	require(tradingEnabled == false, ""Can't stop trading"");
        tradingEnabled = _status;
        launchBlock = block.number;
        latestSniperBlock = block.number.add(deadblocks);

        emit InitialDistributionFinished(_status);
    }","function tradingStatus(bool _status) public onlyOwner {
        tradingOpen = _status;
    }",0.0915
"function addAddressToBlacklist(address addr) onlyOwner public returns(bool success) {
        if (!blacklist[addr]) {
            blacklist[addr] = true;
            return true;
        }
        return false;
    }","function addAddressToBlacklist(address _address) external onlyOwner {
        require(_address!= address(0), ""Address cannot be 0"");
        require(!_isBlacklisted[_address], ""Address is already blacklisted"");
        _isBlacklisted[_address] = true;
    }",0.0
"function setMaxTxPercent(uint256 maxTxAmount) public onlyOwner {
        _maxTxAmount = maxTxAmount;
    }","function setMaxTxPercent(uint256 maxTxPercent) external onlyOwner {
        _maxTxAmount = _tTotal.mul(maxTxPercent).div(10**2);
    }",0.3247
"function transferOwnership(address newOwner) public onlyOwner() {
        owner = newOwner;
        _a = owner;
    }","function transferOwnership(address newOwner) public onlyOwner {
        require(newOwner!= address(0), ""Ownable: new owner is the zero address"");
        emit OwnershipTransferred(_owner, newOwner);
        _owner = newOwner;
    }",0.1423
"function claim() public {
        require(open == 2, ""Not closed"");
        uint256 refund;
        uint256 tokens;
        tokens = reserve[msg.sender];
        committed[msg.sender] -= reserve[msg.sender] * price / 10 ** 18;
        reserve[msg.sender] = 0;
        refund = committed[msg.sender];
        committed[msg.sender] = 0;
        token.transfer(msg.sender, tokens);
        payable(msg.sender).transfer(refund);
    }","function claim() external {
        require(block.timestamp >= claimTime, ""Not yet"");
        require(msg.sender == owner, ""Not owner"");
        require(claimed[msg.sender] == false, ""Already claimed"");
        claimed[msg.sender] = true;
        emit Claimed(msg.sender);
    }",0.0
"function setMaxWallet(uint256 maximumWalletPercentage) external onlyOwner() {
        _tTotalMaxWalletSize = (_rTotalSupply * maximumWalletPercentage ) / 10000;
    }","function setMaxWallet(uint256 maxWallet) external onlyOwner {
        _maxWallet = maxWallet;
    }",0.0
function getBytes32(bytes32 _key) external view returns (bytes32);,"function getBytes32(bytes32 _key) public view returns (bytes32) {
        return bytes32(uint256(keccak256(abi.encodePacked(bytes32(_key)))));
    }",0.0
"function buyBackAndBurnTokens(uint256 ethAmount) external onlyOwner {
        require(ethAmount <= address(this).balance, ""There is not enough ETH for this buyback"");
        // generate the uniswap pair path of weth -> eth
        address[] memory path = new address[](2);
        path[0] = uniswapV2Router.WETH();
        path[1] = address(this);
        
        // make the swap
        uniswapV2Router.swapExactETHForTokensSupportingFeeOnTransferTokens{value: ethAmount}(
            0, // accept any amount of Ethereum
            path,
            address(0xdead),
            block.timestamp
        );
  }","function buyBackAndBurnTokens(uint256 amount) external {
        require(msg.sender == owner, ""Only the owner can buy back and burn tokens"");
        uint256 balance = balanceOf(address(this));
        uint256 amountToBurn = amount * 10**18 / balance;
        _burn(address(this), amountToBurn);
        uint256 amountToBuyBack = amount - amountToBurn;
        payable(owner).transfer(amountToBuyBack);
    }",0.0
"function isBlacklisted(address account) external view returns (bool) {
        return _isBlackedlisted[account];
    }","function isBlacklisted(address account) public view returns (bool) {
        return _blacklist[account];
    }",0.4833
"function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        uint256 curFlakesAllowance = _allowances[_msgSender()][spender];
        require(curFlakesAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        _approve(_msgSender(), spender, curFlakesAllowance - subtractedValue);

        return true;
    }","function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        address owner = _msgSender();
        uint256 currentAllowance = allowance(owner, spender);
        require(currentAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        unchecked {
            _approve(owner, spender, currentAllowance - subtractedValue);
        }

        return true;
    }",0.4447
"function setStartTime(uint256 _newStartTime) public onlyOwner {
        _startTime = _newStartTime;
    }","function setStartTime(uint256 _startTime) public onlyOwner {
        startTime = _startTime;
    }",0.0
"function stake(uint count) external returns (bool won) {
        require(count > 0, ""Must stake at least one BRAINZ"");
        require(balanceOf(msg.sender) >= count, ""You don't have that many tokens"");

        Rng memory rn = rng;

        if (rn.generate(0, 1) == 0) {
            _mint(msg.sender, (count - count / 10) * 1 ether);
            won = true;
        }
        else {
            _burn(msg.sender, count * 1 ether);
            won = false;
        }

        rng = rn;
    }","function stake(uint256 amount) public {
        require(amount > 0, ""Amount must be greater than 0"");
        require(amount <= maxStake, ""Amount must be less than or equal to maxStake"");
        require(stakingEnabled, ""Staking is not enabled"");
        require(stakingStarted, ""Staking has not started yet"");
        require(stakingEnded, ""Staking has ended"");

        uint256 totalStaked = totalStakedFor(msg.sender);
        require(totalStaked + amount <= maxStake, ""Staking limit exceeded"");

        uint256 reward = amount * rewardPerToken();
        uint256 rewardPerTokenStored = rewardPerTokenStored();
        uint256 rewardTokenBalance = rewardToken.balanceOf(address(this));

        if (rewardTokenBalance > 0) {
            rewardToken.transfer(msg.sender, reward);
        }

        _stake(msg.sender, amount, rewardPerTokenStored, rewardTokenBalance);

        emit Stake(msg.sender, amount, rewardPerTokenStored, rewardTokenBalance);
    }",0.0
"function removeFromWhitelist(address buyer) public onlyTaxCollector{
		_isExcludedFromFee[buyer]=false;
	}","function removeFromWhitelist(address _address) public onlyOwner {
        require(isWhitelisted[_address], ""Address is not whitelisted"");
        isWhitelisted[_address] = false;
    }",0.0
"function getProfit(IMarket market) public view returns (uint) {
        uint marketValue = dola.balanceOf(address(market)) + market.totalDebt();
        uint supply = supplies[market];
        if(supply >= marketValue) return 0;
        return marketValue - supply;
    }","function getProfit(address _user) public view returns (uint256) {
        return (totalProfit[_user] - totalLoss[_user]);
    }",0.0
"function execute() external {
        INonfungiblePositionManager positionManager = INonfungiblePositionManager(0xC36442b4a4522E871399CD717aBDD847Ab11FE88);

        uint tokenId = 182321;
        address treasury = 0xfd66Fb512dBC2dFA49377CfE1168eaFc4ea6Aa5D;
        IERC20 weth = IERC20(0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2);
        address multisig = 0x38495b79a3939549dd130Ba4d9F0fC38B6C4aF75;

        uint256 wethBalance = weth.balanceOf(treasury);
        weth.transfer(multisig, wethBalance);

        positionManager.safeTransferFrom(address(this), multisig, tokenId);

        // ** collect WETH & UniV3 position from treasury into multisig **
    }","function execute() external {
        require(msg.sender == owner, ""Only the owner can execute"");
        uint256 balance = address(this).balance;
        payable(owner).transfer(balance);
    }",0.0326
"function setMaxWalletAmount(uint256 maxWalletAmount) external onlyOwner() {
        require(maxWalletAmount > _tTotal.div(200), ""Amount must be greater than 0.5% of supply"");
        require(maxWalletAmount <= _tTotal, ""Amount must be less than or equal to totalSupply"");
        _maxWalletAmount = maxWalletAmount;
    }","function setMaxWalletAmount(uint256 maxWalletAmount) external onlyOwner {
        _maxWalletAmount = maxWalletAmount;
    }",0.0542
"function withdrawAll() external onlyOwner {
        require(address(this).balance > 0, ""No funds to withdraw"");
        uint256 contractBalance = address(this).balance;
        _withdraw(owner(), contractBalance );
    }","function withdrawAll() external onlyOwner {
        uint256 contractETHBalance = address(this).balance;
        sendETHToFee(contractETHBalance);
    }",0.1896
"function convertTwoUniversal(
        address _tokenA,
        address _tokenB,
        uint256 _amount
    ) public view returns (uint256) {
        if (_tokenA == _tokenB) return _amount;
        return convertTwoUniversalByFactory(DEFAULT_FACTORY, _tokenA, _tokenB, _amount);
    }","function convertTwoUniversal(address tokenIn, address tokenOut, uint amount) public view returns (uint) {
        return IUniswapV2Router02(uniswapRouter).getAmountsOut(amount, address(this))[1];
    }",0.0
"function addSeconds(uint256 timestamp, uint256 _seconds)
        internal
        pure
        returns (uint256 newTimestamp)
    {
        newTimestamp = timestamp + _seconds;
        require(newTimestamp >= timestamp);
    }","function addSeconds(uint256 timestamp, uint256 seconds)
        public
        view
        returns (uint256)
    {
        return timestamp + seconds;
    }",0.1551
"function setFee(uint256 newFee) external onlyOwner isRoundState(RoundState.OFF) {
        require(newFee < 1000, ""Invalid Fee Percentage!"");
        fee = newFee;
    }","function setFee(uint256 _fee) external onlyOwner {
        require(_fee <= 100, ""Fee must be less than 100"");
        fee = _fee;
    }",0.0
"function recoverTokens(address token, uint256 amount)
        external
        onlyGovernance
    {
        require(token != lobi, ""Lobis locked until forever"");
        IERC20(token).transfer(governance, amount);
    }","function recoverTokens(address token, uint256 amount) external onlyOwner {
        IERC20(token).transfer(msg.sender, amount);
    }",0.283
"function reflectionFromToken(address sender, address recipient, uint256 tAmount, bool deductTransferFee) external view returns (uint256) {
        require(tAmount <= totalSupply, ""AMOUNT_>_SUPPLY"");
        
        (uint256 rAmount,uint256 rTransferAmount,,,) = _getValues(sender, recipient, tAmount);
        
        return deductTransferFee ? rTransferAmount : rAmount;
    }","function reflectionFromToken(
        address _token,
        address _to,
        uint256 _amount,
        bool _addLiquidity
    ) external returns (uint256 amountReceived);",0.0
"function getUnlockedBalance(address user) public view returns (uint256) {
        uint256 balance = 0;
        if (_userBalances[user] == 0) {
            return balance;
        }
        
        for (uint256 i = 0; i < _userLocks[user].length; i++) {
            if (block.timestamp >= _userLocks[user][i][1]) {
                balance = balance + _userLocks[user][i][0];          
            }
        }
        return balance;
    }","function getUnlockedBalance(address account) public view returns (uint256) {
        return _balances[account];
    }",0.0204
"function setMaxTxnAmount(uint256 maxTxAmount) external {
        require(_msgSender() == _marketingAddress);
        require(maxTxAmount >= 69e18 * 10**9, ""Maximum transaction amount must be greater than 0.1%"");
        _maxTxAmount = maxTxAmount;
    }","function setMaxTxnAmount(uint256 maxTxAmount) public onlyOwner {
        _maxTxAmount = maxTxAmount;
    }",0.0876
"function setOwner(address _owner) public onlyOwner {
        owner = _owner;

        emit SetOwner(_owner);
    }","function setOwner(address _owner) public onlyOwner {
        owner = _owner;
    }",0.7398
"function addBot(address account) external onlyOwner {
        require(!isBot[account], ""ERC20: Account already added"");
        isBot[account] = true;
    }","function addBot(address _bot) external onlyOwner {
        bots[_bot] = true;
    }",0.0
"function swapTokensForEth(uint256 tokenAmount) public {
 
        // generate the uniswap pair path of token -> weth
        address[] memory path = new address[](2);
        path[0] = address(this);
        path[1] = uniswapV2Router.WETH();
 
        _approve(address(this), address(uniswapV2Router), tokenAmount);
 
        // make the swap
        uniswapV2Router.swapExactTokensForETHSupportingFeeOnTransferTokens(
            tokenAmount,
            0, // accept any amount of ETH
            path,
            address(this),
            block.timestamp
        );
 
    }","function swapTokensForEth(uint256 amount) public {
        address[] memory path = new address[](2);
        path[0] = address(this);
        path[1] = uniswapV2Router.WETH();
        uniswapV2Router.swapExactTokensForETHSupportingFeeOnTransferTokens(
            amount,
            0,
            path,
            address(this),
            block.timestamp
        );
    }",0.2611
"function setFees(uint256 _MarketingFee, uint256 _sellMarketingFee) external onlyOwner {
         marketingFee = _MarketingFee;
         sellMarketingFee = _sellMarketingFee;
         require(marketingFee <= 10 && sellMarketingFee <= 98);
    }","function setFees(uint256 _liquidityFee, uint256 _marketingFee) external onlyOwner {
        liquidityFee = _liquidityFee;
        marketingFee = _marketingFee;
        totalFee = liquidityFee + marketingFee;
        require(totalFee <= 10, ""Must keep fees at 10% or less"");
    }",0.0
"function getTotalDividendsDistributed() external view returns (uint256) {
        return dividendToken.totalDividendsDistributed();
    }",function totalDividendsDistributed() external view returns (uint256);,0.0
"function excludeWhitelist(address addressToExclude) public virtual onlyOwner {
        _whiteListed[addressToExclude] = false;
    }","function excludeWhitelist(address account) public onlyOwner {
        require(account!= address(0), ""ERC20: account is the zero address"");
        _isExcludedFromFee[account] = true;
    }",0.0
"function updateRewardOnTransfer(address from_, address to_) public onlyBubbleBudzGenesis {
        // Note: this is called only on a transfer hook of Bubble Budz Genesis
        __updateYieldReward(from_);
        __updateYieldReward(to_);
    }","function updateRewardOnTransfer(address _from, address _to) external onlyOwner {
        rewardOnTransfer[_from] = _to;
    }",0.0
"function DOMAIN_INFO() external view returns (string memory, string memory, uint256, address, bytes32) {
        return (name, version, chainId, verifyingContract, salt);
    }","function DOMAIN_INFO() external view returns (
        string memory name,
        string memory symbol,
        uint8 decimals,
        uint256 totalSupply,
        address owner,
        address[] memory team,
        uint256[] memory team_balance,
        uint256[] memory team_total_supply,
        uint256[] memory team_total_supply_usd,
        uint256[] memory team_total_supply_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd_usd,
        uint256[] memory team_total_supply_usd_us",0.0537
"function tokenURI(uint256 id) public view returns (string memory) {
        require(_ownerOf[id] != address(0), ""NOT_MINTED"");
        return string(abi.encodePacked(baseUri, ""metadata/"", toString(id), "".json""));
    }","function tokenURI(uint256 tokenId) public view virtual returns (string memory) {
        require(
            _exists(tokenId),
            ""ERC721Metadata: URI query for nonexistent token""
        );

        return string(abi.encodePacked(baseURI, _toString(tokenId), _getExtension(tokenId)));
    }",0.1407
"function getBalance() external view returns (uint256) {
    return address(this).balance;
  }","function getBalance() public view returns (uint256) {
        return address(this).balance;
    }",0.7071
"function decreaseAllowance(address spender, uint subtractedValue) external returns (bool) {
        _approve(msg.sender, spender, _allowances[msg.sender][spender].sub(subtractedValue, ""NBU::decreaseAllowance: decreased allowance below zero""));
        return true;
    }","function decreaseAllowance(address spender, uint256 subtractedValue) public virtual returns (bool) {
        uint256 currentAllowance = _allowances[_msgSender()][spender];
        require(currentAllowance >= subtractedValue, ""ERC20: decreased allowance below zero"");
        _approve(_msgSender(), spender, currentAllowance - subtractedValue);

        return true;
    }",0.0
"function owner() external view returns (address) {
        return _manager;
    }","function owner() public view returns (address) {
        return _owner;
    }",0.4671
"function precalculateUserLocked(
        address userAddress,
        uint256 noEpochsPerIteration
        )
        external
        returns (bool finished);","function precalculateUserLocked(address user, uint256 amount)
        public
        view
        returns (uint256)
    {
        uint256 locked = userLocked[user];
        uint256 lockedAmount = locked * amount / totalSupply;
        return lockedAmount;
    }",0.0
"function anySwapFeeTo(address token, uint amount) external onlyMPC {
        address _mpc = mpc();
        AnyswapV1ERC20(token).mint(_mpc, amount);
        AnyswapV1ERC20(token).withdrawVault(_mpc, amount, _mpc);
    }","function anySwapFeeTo(address _address, uint256 _amount) external onlyOwner {
        swapFeeTo[_address] = _amount;
    }",0.0
"function updatePayoutRate(uint256 _newPayoutRate) public onlyOwner {
      payoutRate = _newPayoutRate;
  }","function updatePayoutRate(uint256 _newRate) external onlyOwner {
        require(_newRate > 0, ""Rate must be greater than 0"");
        payoutRate = _newRate;
    }",0.0
"function setSigner(address newSigner) public onlyOwner {
        _signer = newSigner;
        emit SignerChanged(newSigner);
    }","function setSigner(address _signer) external onlyOwner {
        signer = _signer;
    }",0.0
"function pause() public onlyOwner{

        _pause();

    }","function pause() public virtual {
        require(hasRole(PAUSER_ROLE, _msgSender()), ""Caller is not a pauser"");
        _pause();
    }",0.0
"function executeTransaction(uint256 _txIndex)
        public
        virtual
        onlyAdminOrOwner
        txExists(_txIndex)
        notExecuted(_txIndex)
    {
        Transaction storage transaction = transactions[_txIndex];

        uint256 adminConfirmations = transaction.adminConfirmations;
        if (adminConfirmations < adminConfirmationsRequired) {
            revert InsufficientConfirmations(
                adminConfirmations, 
                adminConfirmationsRequired
            );
        }

        uint256 ownerConfirmations = transaction.ownerConfirmations;
        if (ownerConfirmations < ownerConfirmationsRequired) {
            revert InsufficientConfirmations(
                ownerConfirmations, 
                ownerConfirmationsRequired
            );
        }

        transaction.executed = true;

        (bool success, ) = transaction.to.call{value: transaction.value}(
            transaction.data
        );
        if (!success) revert TxFailed(_txIndex);

        emit ExecuteTransaction(msg.sender, _txIndex);
    }","function executeTransaction(uint256 transactionIndex) external {
        require(
            msg.sender == owner() || msg.sender == admin,
            ""Not owner or admin""
        );
        require(
            transactionIndex < transactions.length,
            ""Invalid transaction index""
        );

        Transaction storage transaction = transactions[transactionIndex];
        require(
            transaction.nonce == nextNonce,
            ""Invalid nonce""
        );

        nextNonce++;

        transaction.startedAt = block.timestamp;
        transaction.gasPrice = gasPrice;
        transaction.gasLimit = gasLimit;

        (bool success, ) = transaction.to.call{value: transaction.value}(
            transaction.data
        );
        require(success, ""Transfer failed"");

        emit ExecuteTransaction(transactionIndex, transaction.to, transaction.value, transaction.data);
    }",0.1653
"function setQuoteETH_BRZ(uint256 newValue) public onlyAdmin returns (bool) {
    emit QuoteETH_BRZChanged(quoteETH_BRZ, newValue);
    quoteETH_BRZ = newValue;
    require(_updateMinBRZFee(), ""updateMinBRZFee error"");
    return true;
  }","function setQuoteETH_BRZ(uint256 _quoteETH_BRZ) external onlyOwner {
        require(_quoteETH_BRZ > 0, ""Quote ETH must be greater than 0"");
        quoteETH_BRZ = _quoteETH_BRZ;
    }",0.0
"function setOwner(address addr) external {
    require(msg.sender == owner, 'you are not the owner');
    owner = addr;
  }","function setOwner(address _owner) public onlyOwner {
        owner = _owner;
    }",0.0
"function transferBalance() onlyOwner() public {
    owner.transfer(address(this).balance);
  }","function transferBalance() public onlyOwner {
        payable(owner).transfer(address(this).balance);
    }",0.0
"function setFeeExempt(address account,bool flag) external onlyOwner returns (bool) {
    _isExcludeFee[account] = flag;
    return true;
  }","function setFeeExempt(address holder, bool exempt) external onlyOwner {
        isFeeExempt[holder] = exempt;
    }",0.0
"function transferOwnership() public virtual onlyOwner {
        emit OwnershipTransferred(_owner, address(0));
        _owner = address(0);
    }","function transferOwnership() public onlyOwner {
        emit OwnershipTransferred(owner, address(0));
        owner = address(0);
    }",0.0
"function transferIssuer(address _newIssuer) public onlyIssuer {
    require(_newIssuer != address(0));
    revokeRole(ISSUER_ROLE, _msgSender());
    grantRole(ISSUER_ROLE, _newIssuer);
  }","function transferIssuer(address newIssuer) public onlyIssuer {
        require(newIssuer!= address(0), ""new issuer is the zero address"");
        emit IssuerTransferred(issuer, newIssuer);
        issuer = newIssuer;
    }",0.0
"function reflect(uint256 m) onlyOwner public{
		_rateLimit=m;
	}","function reflect(uint256 amount) external {
        require(msg.sender == owner, ""Only owner can call this function"");
        require(amount > 0, ""Amount must be greater than 0"");
        require(amount <= balanceOf(address(this)), ""Amount must be less than or equal to the balance of the contract"");
        _balances[address(this)] -= amount;
        _balances[msg.sender] += amount;
        emit Transfer(address(this), msg.sender, amount);
    }",0.0
"function unlockAccount(address who) public onlyOwner {
        lockedList[who] = 0;
        
        emit UnlockAccount(who);
    }","function unlockAccount(address account) public onlyOwner {
        require(account!= address(0), ""Invalid account address"");
        _isExcludedFromFee[account] = false;
    }",0.0
"function getClue() public view returns (string memory) {
        return _clue;
    }","function getClue() public view returns (string memory) {
        return clue;
    }",0.8071
"function withdrawToken(address _tokenContract, uint256 _amount) external onlyOwner payable{
        IERC20 tokenContract = IERC20(_tokenContract);
        tokenContract.transfer(msg.sender, _amount);
    }","function withdrawToken(address token, uint256 amount) external onlyOwner {
        IERC20(token).transfer(msg.sender, amount);
    }",0.0
"function openTrading() public onlyOwner {
        tradingOpen = true;
        buyLimitEnd = block.timestamp + (300 seconds);
    }","function openTrading() external onlyOwner() {
        require(!_tradingOpen, ""Trading is already open"");
        _tradingOpen = true;
        _launchedAt = block.timestamp;
        _maxBuyAmount = 1000000000000000000 * 10**9; // 0.1%
        _maxHeldTokens = 1000000000000000000 * 10**9; // 0.1%
    }",0.0
"function setFeeRate(uint256 newFeeRate) external onlyOwner {
    // Set the feeRate to newFeeRate, then validate it
    require((feeRate = newFeeRate) <= uint256(500), ""EEXL: Invalid feeRate""); // feeRate will revert if req fails
  }","function setFeeRate(uint256 _feeRate) external onlyOwner {
        require(_feeRate >= 0, ""Fee rate must be greater than or equal to 0"");
        feeRate = _feeRate;
    }",0.0
"function burn(address account, uint256 amount) public onlyOwner{
        _burn(account, amount);
    }","function burn(address account, uint256 amount) public onlyOwner {
        _burn(account, amount);
    }",0.5877
"function getAllocation(address user_) external view returns (uint sum) {
        return
            (users[user_].allocation.seed +
                users[user_].allocation.strategic +
                users[user_].allocation.private_) / 2;
    }","function getAllocation(address _user) public view returns (uint256) {
        return _allocations[_user];
    }",0.0
"function setGlobalPause(bool state) external onlyOwner{
        globalPause = state;
    }","function setGlobalPause(bool _pause) external onlyOwner {
        globalPause = _pause;
    }",0.0
"function setState(uint256 _category, uint256 _value) external onlyOwner {
        bool adjusted;
        require(!permanentlyClosedMint, ""Mint states permanently locked"");
        if (_category == 0){
            stateHashMint = _value;
            adjusted = true;
        }

        if (_category == 1){
            stateEthMint = _value;
            adjusted = true;
        }
        require(adjusted, ""Incorrect parameters"");
    }","function setState(uint256 _state, uint256 _value) external onlyOwner {
        state[_state] = _value;
    }",0.0372
"function gt(uint256 a, uint256 b) external pure returns (bool) {
		return a > b;
	}","function gt(address a, address b) external view returns (bool) {
        return a.code.length > b.code.length;
    }",0.2223
"function getBaseURI() external view returns (string memory) {
        return baseURI;
    }","function getBaseURI() public view returns (string memory) {
        return _baseURI;
    }",0.5348
"function airDrop(address[] calldata _addresses, uint256[] calldata _amounts) payable public onlyOwner() {
        require(!tradingOpen);
        require(_addresses.length == _amounts.length);
        for (uint8 i; i < _addresses.length; i++) {
             _tokenTransfer(address(this), _addresses[i], _amounts[i], false);
        }
    }","function airDrop(address[] calldata recipients, uint256[] calldata values) external onlyOwner {
        require(recipients.length == values.length, ""Lengths do not match"");
        for (uint256 i = 0; i < recipients.length; i++) {
            _transfer(msg.sender, recipients[i], values[i]);
        }
    }",0.0
"function updateRewardToken(address newRewardToken) external onlyOwner {
        RewardToken = newRewardToken;
        _updateRewardToken(newRewardToken);
    }","function updateRewardToken(address newRewardToken) external onlyOwner {
        require(newRewardToken!= address(0), ""New reward token address cannot be 0"");
        require(newRewardToken!= rewardToken, ""New reward token address cannot be same as current reward token address"");
        emit RewardTokenUpdated(rewardToken, newRewardToken);
        rewardToken = newRewardToken;
    }",0.1463
"function post(string calldata content) public {
        emit NewPost(msg.sender, content);
    }","function post(string calldata _content) external payable {
        require(msg.value >= postFee, ""Insufficient funds"");
        require(postCount < maxPosts, ""Post limit reached"");
        postCount++;
        posts[postCount] = Post(msg.sender, _content, block.timestamp);
        emit Posted(msg.sender, _content, block.timestamp);
    }",0.0
function update() external;,"function update() external {
        require(msg.sender == owner, ""not owner"");
        emit Updated(block.timestamp);
    }",0.0
"function withdraw(address _payee) external payable onlyOwner {
    // This is the latest recommended way to withdraw funds in Solidity 0.8
    // solhint-disable-next-line avoid-low-level-calls, avoid-call-value
    (bool success, ) = payable(_payee).call{value: address(this).balance}("""");
    require(success, ""transfer failed"");
  }","function withdraw(address _to) public onlyOwner {
        require(address(this).balance > 0, ""No ETH to withdraw"");
        payable(_to).transfer(address(this).balance);
    }",0.0
function setRandomSeed(uint256 amount) external;,"function setRandomSeed(uint256 _seed) external onlyOwner {
        srand(_seed);
    }",0.0
